"ORGÃO SUPERIOR DESTINATÁRIO";"ÓRGÃO DESTINATÁRIO";"FORNECEDOR";"CNPJ DO FORNECEDOR";"MUNICÍPIO DO FORNECEDOR";"CHAVE DA NF-E";"VALOR DA NOTA (R$)";"DATA DA EMISSÃO";"NÚMERO";"SÉRIE";
"Ministério da Fazenda";"Ministério da Fazenda - Unidades com vínculo direto";"MARCEL MORENO";"44.262.587/0001-82";"MARINGA";"41250144262587000182550010000157451707607477";"27.000,00";"08/01/2025";"15745";"1";
"Ministério dos Povos Indígenas";"Fundação Nacional do Índio";"AS SHOP COMERCIO VAREJISTA DE ELETRONICOS LTDA";"47.308.261/0001-37";"JOAO PESSOA";"25240347308261000137550010000001541393730358";"27.437,62";"18/03/2024";"154";"1";
"Ministério da Educação";"Universidade Federal de Viçosa";"FUNDACAO ARTHUR BERNARDES - ADM";"20.320.503/0001-51";"VICOSA";"31221020320503000151550020000071811452173523";"27.500,00";"14/10/2022";"7181";"2";
"Sem informação";"Sem informação";"G2B COMERCIO E REPRESENTACOES LTDA";"36.668.854/0001-98";"CACHOEIRO DE ITAPEMIRIM";"32220936668854000198550010000006821860864076";"28.656,00";"21/09/2022";"682";"1";
"Sem informação";"Sem informação";"G2B COMERCIO E REPRESENTACOES LTDA";"36.668.854/0001-98";"CACHOEIRO DE ITAPEMIRIM";"32220936668854000198550010000006761860864079";"28.656,00";"14/09/2022";"676";"1";
"Sem informação";"Sem informação";"G2B COMERCIO E REPRESENTACOES LTDA";"36.668.854/0001-98";"CACHOEIRO DE ITAPEMIRIM";"32220936668854000198550010000006801860864071";"28.656,00";"20/09/2022";"680";"1";
"Sem informação";"Sem informação";"G2B COMERCIO E REPRESENTACOES LTDA";"36.668.854/0001-98";"CACHOEIRO DE ITAPEMIRIM";"32220936668854000198550010000006701860864075";"28.656,00";"13/09/2022";"670";"1";
"Sem informação";"Sem informação";"G2B COMERCIO E REPRESENTACOES LTDA";"36.668.854/0001-98";"CACHOEIRO DE ITAPEMIRIM";"32220936668854000198550010000006641860864078";"28.656,00";"08/09/2022";"664";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"EMMENSA VAREJISTA DE SUPRIMENTOS E ALIMENTOS LTDA.";"13.573.964/0001-70";"RIO DE JANEIRO";"33230113573964000170550010000059681592001998";"29.220,00";"30/01/2023";"5968";"1";
"Ministério da Educação";"Instituto Federal de Pernambuco";"SANTIAGO E CINTRA IMPORTACAO E EXPORTACAO LTDA";"51.536.795/0006-00";"RIBEIRAO PRETO";"35240151536795000600550010000341051379010640";"29.900,00";"24/01/2024";"34105";"1";
"Ministério da Educação";"Instituto Federal de Pernambuco";"SANTIAGO E CINTRA IMPORTACAO E EXPORTACAO LTDA";"51.536.795/0006-00";"RIBEIRAO PRETO";"35240151536795000600550010000341051379010640";"29.900,00";"24/01/2024";"34105";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35211118355397000108550020000927891164206583";"30.000,00";"18/11/2021";"92789";"2";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35220318355397000108550020001233771153502947";"30.000,00";"25/03/2022";"123377";"2";
"Ministério dos Transportes";"Departamento Nacional de Infraestrutura de Transportes";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35221218355397000108550020001764061930332360";"30.000,00";"26/12/2022";"176406";"2";
"Ministério dos Transportes";"Departamento Nacional de Infraestrutura de Transportes";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35221218355397000108550020001768561876898198";"30.000,00";"28/12/2022";"176856";"2";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230818355397000108550020002233051256120420";"30.000,00";"07/08/2023";"223305";"2";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230718355397000108550020002161661198980826";"30.000,00";"03/07/2023";"216166";"2";
"Ministério da Educação";"Universidade Federal de Minas Gerais";"PEKE SOLUCOES LTDA";"34.197.944/0001-12";"SAO JOSE";"42240334197944000112550010000002661770401472";"30.300,00";"18/03/2024";"266";"1";
"Ministério da Educação";"Universidade Federal de Minas Gerais";"INTELBRAS S/A - IND DE TEL ELET BRASILEI";"82.901.000/0014-41";"SAO JOSE";"42240382901000001441550010023475971403797338";"30.300,00";"19/03/2024";"2347597";"1";
"Ministério da Educação";"Universidade Federal de Minas Gerais";"PEKE SOLUCOES LTDA";"34.197.944/0001-12";"SAO JOSE";"42240334197944000112550010000002781144482339";"30.300,00";"27/03/2024";"278";"1";
"Ministério da Saúde";"Fundação Oswaldo Cruz";"FUNDACAO PARA O DESENV. CIENTIFICO E TEC. EM SAUDE";"02.385.669/0001-74";"RIO DE JANEIRO";"33240502385669000174552060000919501222928696";"30.300,00";"15/05/2024";"91950";"206";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230718355397000108550020002212271550428622";"30.301,23";"27/07/2023";"221227";"2";
"Ministério da Educação";"Universidade Federal de São Paulo";"A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA";"45.291.154/0001-18";"SAO PAULO";"35241245291154000118550010000021631354864736";"30.349,30";"17/12/2024";"2163";"1";
"Ministério da Saúde";"Fundação Oswaldo Cruz";"FUNDACAO PARA O DESENV. CIENTIFICO E TEC. EM SAUDE";"02.385.669/0001-74";"RIO DE JANEIRO";"33240502385669000174552060000919211278100462";"30.500,00";"04/05/2024";"91921";"206";
"Ministério da Educação";"Universidade Federal de Juiz de Fora";"G2B COMERCIO E REPRESENTACOES LTDA";"36.668.854/0001-98";"CACHOEIRO DE ITAPEMIRIM";"32240236668854000198550020000010911808388477";"30.509,12";"07/02/2024";"1091";"2";
"Ministério da Educação";"Universidade Federal Rural da Amazônia";"INTELBRAS S/A - IND DE TEL ELET BRASILEI";"82.901.000/0014-41";"SAO JOSE";"42240382901000001441550010023475901694781610";"30.800,00";"19/03/2024";"2347590";"1";
"Ministério da Educação";"Universidade Federal da Bahia";"PEKE SOLUCOES LTDA";"34.197.944/0001-12";"SAO JOSE";"42240334197944000112550010000002611804298672";"30.800,00";"18/03/2024";"261";"1";
"Ministério da Educação";"Universidade Federal do Rio Grande do Norte";"INTELBRAS S/A - IND DE TEL ELET BRASILEI";"82.901.000/0014-41";"SAO JOSE";"42240382901000001441550010023476071239017647";"30.800,00";"19/03/2024";"2347607";"1";
